Place,Artist,Song,Length,BPM,Year,Genre
324,The Supremes,Baby Love,2:36,135.8,1964,Dance 1960s
325,The Young Rascals,Good Lovin',2:29,98.4,1966,Rock 1960s
326,James Brown,Sex Machine,5:15,108.4,1970,Rock 1970s
327,The Impressions,For Your Precious Love,2:46,108.1,2001,Easy
328,The Doors,The End,11:42,108.2,1985,Rock 1970s
329,"Earth, Wind & Fire",That's the Way of the World,5:46,82.1,1978,TBD
330,Queen,We Will Rock You,2:00,140.7,1977,Rock 1970s
331,Bonnie Raitt,I Can't Make You Love Me,4:45,123,1991,Easy
332,Bob Dylan,Subterranean Homesick Blues,2:16,86.8,1965,Rock 1960s
333,Norman Greenbaum,Spirit in the Sky,4:01,128.4,1969,TBD
334,The Rolling Stones,Wild Horses,5:45,144.2,1971,TBD
335,The Velvet Underground,Sweet Jane,3:15,105.6,1998,TBD
336,Aerosmith,Walk This Way,3:32,108,1975,Rock 1980s
337,Michael Jackson,Beat It,4:19,138.6,1983,Dance 1980s
338,Wings,Maybe I'm Amazed,3:51,160.9,2001,TBD
339,The Supremes,You Keep Me Hanging On,2:41,127.6,1968,TBD
340,The Who,Baba O'Riley,5:07,116.2,1971,Rock 1970s
341,Jimmy Cliff,The Harder They Come,3:06,98.8,1972,TBD
342,Dion,Runaround Sue,2:39,157.6,1961,Rock 1960s
343,LaVern Baker,Jim Dandy,2:13,168.8,1991,TBD
344,Janis Joplin,Piece of My Heart,4:12,158.4,1968,Rock 1960s
345,Ritchie Valens,La Bamba,2:04,151.5,1959,Rock 1950s
346,2Pac,California Love,4:47,91.5,1996,R&B 1990s
347,Elton John,Candle in the Wind,3:48,124.7,1974,Rock 1970s
348,The Isley Brothers,That Lady (Part 1 & 2),5:34,128.2,1973,TBD
349,Ben E. King,Spanish Harlem,2:48,125.4,1961,Slow
350,Little Eva,Loco-Motion,2:28,127.5,1962,Rock 1960s
351,The Platters,Great Pretender,2:39,120.9,1955,Slow
352,Elvis Presley,All Shook Up,2:00,147,1957,Rock 1950s
353,Eric Clapton,Tears in Heaven,4:32,153.7,1992,Slow
354,Elvis Costello,Watching the Detective,3:41,134.6,1978,TBD
355,Creedence Clearwater Revival,Bad Moon Rising,2:19,89.7,1969,Rock 1960s
356,Eurythmics,Sweet Dreams,4:53,126,1983,Rock 1980s
357,Jimi Hendrix,Little Wing,2:23,141.6,1993,TBD
358,Martha Reeves & The Vandellas,Nowhere to Run,2:55,129.2,1965,Dance 1960s
359,Muddy Waters,Got My Mojo Working,2:50,113.3,1999,TBD
360,Roberta Flack,Killing Me Softly With His Song,4:47,121.8,1973,Slow
361,The Clash,Complete Control,3:13,87.4,1977,TBD
362,The Beatles,All You Need Is Love,3:48,104.7,1969,Rock 1960s
363,Box Tops,The Letter,2:00,138.2,1967,Rock 1960s
364,Bob Dylan,Highway 61 Revisited,3:30,136.8,1965,TBD
365,The Righteous Brothers,Unchained Melody,3:36,100.8,1966,Slow
366,Bee Gees,How Deep Is Your Love,4:00,105.1,1977,Slow
367,Cream,White Room,4:56,110.2,1968,Rock 1960s
368,Depeche Mode,Personal Jesus,5:48,130,1990,Rock 1990s
369,Bo Diddley,I'm a Man,3:02,102.4,1957,TBD
370,Jimi Hendrix,The Wind Cries Mary,3:22,153.8,1972,Rock 1970s
371,The Who,I Can't Explain,2:03,137.8,1965,Rock 1960s
372,Television,Marquee Moon,10:40,119.1,1977,TBD
373,Sam Cooke,(What A) Wonderful World,2:05,128.8,1960,Rock 1960s
374,Chuck Berry,Brown-Eyed Handsome Man,2:18,90.5,1957,TBD
375,Pink Floyd,Another Brick in the Wall (Part II),3:50,104.1,1980,Rock 1980s
376,Radiohead,Fake Plastic Trees,4:50,147.2,1995,Rock 1990s
377,Ray Charles,Hit the Road Jack,1:59,86.4,1961,Rock 1960s
378,U2,Pride (In the Name of Love),3:46,106.4,1984,Rock 1980s
379,R.E.M.,Radio Free Europe [Original Hib-Tone Single],3:49,83.1,1988,Rock 1980s
380,Elton John,Goodbye Yellow Brick Road,3:12,120.3,1973,Slow
